Timestamp,Year,Have you been to Purdue University Student Health Service (PUSH) before?,"If yes, what was your method of payment?","If you haven’t gone to PUSH, why not?","Are you from in-state, out-of-state or international?",What’s your healthcare insurance provider?,Were you aware that PUSH accepts your health insurance?,Are you aware of any medical services you need through your insurance that are not covered through PUSH?,"If you have gone to PUSH, what services did you go for?",If your medical service is not covered by your insurance at PUSH would you....,Would you like a website that told you where your insurance would be accepted based on the medical services you need?,Were you aware that PUSH does not accept your health insurance?,"If you have gone to PUSH, what services did you go for? ","If you had gone somewhere else, where did you go and what services did you go for? ",Would you like is if PUSH accepted your insurance?,Would you like a website that told you where your insurance would be accepted based on the medical services you need?
10/30/2023 14:56:43,Undergraduate,Yes,Bill to your Bursar account,I have gone to PUSH,In state (Indiana),Medicaid,,,,,,No,Vaccine - for immunization requirements ,na,Yes,Yes
10/30/2023 14:56:47,Undergraduate,Yes,Insurance,I have gone to PUSH,Out of State (still in the United States),Kaiser,,,,,,No,Vaccinations ,Na,Yes,No
10/30/2023 14:56:58,Undergraduate,Yes,Insurance,I have gone to PUSH,Out of State (still in the United States),Anthem (including Anthem Blue Cross Blue Shield and Blue Cross Blue Shield Association),Yes,,Vaccine- Men B,Still go to PUSH and choose another payment option,Yes,No,N/A,N/A,Yes,Yes
10/30/2023 15:00:09,Undergraduate,Yes,Insurance,I have gone to PUSH,In state (Indiana),Anthem (including Anthem Blue Cross Blue Shield and Blue Cross Blue Shield Association),Yes,,check up,Find another location that accepts your insurance,Yes,No,check up,Didn’t go somewhere else,Yes,Yes
10/30/2023 15:00:34,Masters,Yes,Personal Checks,I have gone to PUSH,International (outside of the United States),United Health Care,Yes,NA,TB vaccination,Still go to PUSH and choose another payment option,Yes,Yes,Flu shot,NA,Yes,Yes
10/30/2023 15:04:31,Masters,Yes,Insurance,I have gone to PUSH,International (outside of the United States),United Health Care,Yes,No,Vaccine,Find another location that accepts your insurance,Yes,No,Vaccine,NA,Yes,Yes
10/30/2023 15:06:59,Masters,Yes,Insurance,I have gone to PUSH,International (outside of the United States),United Health Care,Yes,No,Flu,Still go to PUSH and choose another payment option,Yes,,,,,
10/30/2023 15:10:01,Undergraduate,No,I have not gone to PUSH,I have not needed medical services,Out of State (still in the United States),Anthem (including Anthem Blue Cross Blue Shield and Blue Cross Blue Shield Association),No,No,N/A,Find another location that accepts your insurance,Yes,,,,,
10/30/2023 15:10:44,Undergraduate,Yes,Insurance,I have gone to PUSH,Out of State (still in the United States),Purdue University Student Insurance,Yes,Nope ,NA,Find another location that accepts your insurance,Yes,,,,,
10/30/2023 15:17:12,Other,Yes,Insurance,I have gone to PUSH,In state (Indiana),Purdue University Student Insurance,Yes,,"Vaccine, and cold",Find another location that accepts your insurance,Yes,,,,,
10/30/2023 15:17:21,Undergraduate,Yes,Insurance,I have gone to PUSH,In state (Indiana),Anthem (including Anthem Blue Cross Blue Shield and Blue Cross Blue Shield Association),No,,Fractured and sprained foot,Find another location that accepts your insurance,Yes,,,,,
10/30/2023 15:19:06,Undergraduate,Yes,"Debit, credit and Flexible Spending Account cards with Visa, Master Card, American Express and Discover",I have gone to PUSH,In state (Indiana),Medicaid,,,,,,No,Vaccine- hep b,Na,Yes,Yes
10/30/2023 15:19:18,Undergraduate,No,I have not gone to PUSH,I have not needed medical services,In state (Indiana),United Health Care,Yes,,NA,Find another location that accepts your insurance,No,,,,,
10/30/2023 15:19:36,Undergraduate,Yes,Insurance,I have gone to PUSH,Out of State (still in the United States),Purdue University Student Insurance,Yes,,Vaccines,Find another location that accepts your insurance,Yes,,,,,
10/30/2023 15:19:49,Undergraduate,Yes,"Debit, credit and Flexible Spending Account cards with Visa, Master Card, American Express and Discover",I have gone to PUSH,In state (Indiana),UMR,Yes,Not that I know of,General illness/Vaccination ,Find another location that accepts your insurance,Yes,,,,,
